ID,Nombre,Ubicacion
79,Sensor_79,Zona_39
80,Sensor_80,Zona_40
81,Sensor_81,Zona_30
82,Sensor_82,Zona_16
83,Sensor_83,Zona_21
84,Sensor_84,Zona_28
85,Sensor_85,Zona_29
86,Sensor_86,Zona_9
87,Sensor_87,Zona_37
88,Sensor_88,Zona_44
89,Sensor_89,Zona_35
90,Sensor_90,Zona_29
91,Sensor_91,Zona_24
92,Sensor_92,Zona_48
93,Sensor_93,Zona_8
94,Sensor_94,Zona_3
95,Sensor_95,Zona_1
96,Sensor_96,Zona_46
97,Sensor_97,Zona_50
98,Sensor_98,Zona_41
99,Sensor_99,Zona_6
100,Sensor_100,Zona_27
101,Sensor_101,Zona_22
102,Sensor_102,Zona_39
103,Sensor_103,Zona_2
104,Sensor_104,Zona_26
105,Sensor_105,Zona_42
106,Sensor_106,Zona_3
107,Sensor_107,Zona_37
108,Sensor_108,Zona_24
109,Sensor_109,Zona_43
110,Sensor_110,Zona_11
111,Sensor_111,Zona_19
112,Sensor_112,Zona_25
113,Sensor_113,Zona_33
114,Sensor_114,Zona_38
115,Sensor_115,Zona_41
116,Sensor_116,Zona_18
117,Sensor_117,Zona_22
118,Sensor_118,Zona_6
119,Sensor_119,Zona_42
120,Sensor_120,Zona_34
121,Sensor_121,Zona_50
122,Sensor_122,Zona_32
123,Sensor_123,Zona_11
124,Sensor_124,Zona_5
125,Sensor_125,Zona_27
126,Sensor_126,Zona_6
127,Sensor_127,Zona_21
128,Sensor_128,Zona_50
129,Sensor_129,Zona_2
130,Sensor_130,Zona_17
131,Sensor_131,Zona_11
132,Sensor_132,Zona_49
133,Sensor_133,Zona_14
134,Sensor_134,Zona_39
135,Sensor_135,Zona_7
136,Sensor_136,Zona_43
137,Sensor_137,Zona_43
138,Sensor_138,Zona_14
139,Sensor_139,Zona_43
140,Sensor_140,Zona_9
141,Sensor_141,Zona_46
142,Sensor_142,Zona_45
143,Sensor_143,Zona_7
144,Sensor_144,Zona_14
145,Sensor_145,Zona_33
146,Sensor_146,Zona_26
147,Sensor_147,Zona_10
148,Sensor_148,Zona_14
149,Sensor_149,Zona_39
150,Sensor_150,Zona_4
151,Sensor_151,Zona_35
152,Sensor_152,Zona_23
153,Sensor_153,Zona_22
154,Sensor_154,Zona_7
155,Sensor_155,Zona_5
156,Sensor_156,Zona_43
157,Sensor_157,Zona_46
158,Sensor_158,Zona_28
159,Sensor_159,Zona_17
160,Sensor_160,Zona_34
161,Sensor_161,Zona_37
162,Sensor_162,Zona_32
163,Sensor_163,Zona_11
164,Sensor_164,Zona_45
165,Sensor_165,Zona_18
166,Sensor_166,Zona_28
167,Sensor_167,Zona_24
168,Sensor_168,Zona_22
169,Sensor_169,Zona_38
170,Sensor_170,Zona_39
171,Sensor_171,Zona_30
172,Sensor_172,Zona_45
173,Sensor_173,Zona_33
174,Sensor_174,Zona_37
175,Sensor_175,Zona_2
176,Sensor_176,Zona_2
177,Sensor_177,Zona_16
178,Sensor_178,Zona_10
179,Sensor_179,Zona_44
180,Sensor_180,Zona_50
181,Sensor_181,Zona_16
182,Sensor_182,Zona_15
183,Sensor_183,Zona_6
184,Sensor_184,Zona_8
185,Sensor_185,Zona_35
186,Sensor_186,Zona_24
187,Sensor_187,Zona_47
188,Sensor_188,Zona_7
189,Sensor_189,Zona_11
190,Sensor_190,Zona_33
191,Sensor_191,Zona_20
192,Sensor_192,Zona_6
193,Sensor_193,Zona_11
194,Sensor_194,Zona_44
195,Sensor_195,Zona_8
196,Sensor_196,Zona_26
197,Sensor_197,Zona_48
198,Sensor_198,Zona_25
199,Sensor_199,Zona_18
200,Sensor_200,Zona_24
201,Sensor_201,Zona_1
202,Sensor_202,Zona_3
203,Sensor_203,Zona_42
204,Sensor_204,Zona_20
205,Sensor_205,Zona_7
206,Sensor_206,Zona_30
207,Sensor_207,Zona_10
208,Sensor_208,Zona_32
209,Sensor_209,Zona_27
210,Sensor_210,Zona_11
211,Sensor_211,Zona_35
212,Sensor_212,Zona_29
213,Sensor_213,Zona_12
214,Sensor_214,Zona_5
215,Sensor_215,Zona_29
216,Sensor_216,Zona_19
217,Sensor_217,Zona_9
218,Sensor_218,Zona_3
219,Sensor_219,Zona_43
220,Sensor_220,Zona_4
221,Sensor_221,Zona_46
222,Sensor_222,Zona_45
223,Sensor_223,Zona_24
224,Sensor_224,Zona_13
225,Sensor_225,Zona_4
226,Sensor_226,Zona_15
227,Sensor_227,Zona_25
228,Sensor_228,Zona_49
229,Sensor_229,Zona_16
230,Sensor_230,Zona_5
231,Sensor_231,Zona_11
232,Sensor_232,Zona_25
233,Sensor_233,Zona_36
234,Sensor_234,Zona_50
235,Sensor_235,Zona_7
236,Sensor_236,Zona_24
237,Sensor_237,Zona_4
238,Sensor_238,Zona_24
239,Sensor_239,Zona_10
240,Sensor_240,Zona_45
241,Sensor_241,Zona_26
242,Sensor_242,Zona_44
243,Sensor_243,Zona_23
244,Sensor_244,Zona_34
245,Sensor_245,Zona_7
246,Sensor_246,Zona_20
247,Sensor_247,Zona_48
248,Sensor_248,Zona_14
249,Sensor_249,Zona_17
250,Sensor_250,Zona_8
251,Sensor_251,Zona_50
252,Sensor_252,Zona_26
253,Sensor_253,Zona_5
254,Sensor_254,Zona_29
255,Sensor_255,Zona_34
256,Sensor_256,Zona_6
257,Sensor_257,Zona_42
258,Sensor_258,Zona_13
259,Sensor_259,Zona_47
260,Sensor_260,Zona_35
261,Sensor_261,Zona_43
262,Sensor_262,Zona_31
263,Sensor_263,Zona_25
264,Sensor_264,Zona_38
265,Sensor_265,Zona_39
266,Sensor_266,Zona_48
267,Sensor_267,Zona_14
268,Sensor_268,Zona_49
269,Sensor_269,Zona_21
270,Sensor_270,Zona_20
271,Sensor_271,Zona_6
272,Sensor_272,Zona_25
273,Sensor_273,Zona_49
274,Sensor_274,Zona_32
275,Sensor_275,Zona_31
276,Sensor_276,Zona_23
277,Sensor_277,Zona_29
278,Sensor_278,Zona_9
279,Sensor_279,Zona_31
280,Sensor_280,Zona_25
281,Sensor_281,Zona_24
282,Sensor_282,Zona_14
283,Sensor_283,Zona_35
284,Sensor_284,Zona_19
285,Sensor_285,Zona_32
286,Sensor_286,Zona_10
287,Sensor_287,Zona_24
288,Sensor_288,Zona_49
289,Sensor_289,Zona_31
290,Sensor_290,Zona_15
291,Sensor_291,Zona_35
292,Sensor_292,Zona_13
293,Sensor_293,Zona_26
294,Sensor_294,Zona_2
295,Sensor_295,Zona_46
296,Sensor_296,Zona_35
297,Sensor_297,Zona_40
298,Sensor_298,Zona_38
299,Sensor_299,Zona_23
300,Sensor_300,Zona_44
301,Sensor_301,Zona_40
302,Sensor_302,Zona_49
303,Sensor_303,Zona_43
304,Sensor_304,Zona_2
305,Sensor_305,Zona_20
306,Sensor_306,Zona_15
307,Sensor_307,Zona_41
308,Sensor_308,Zona_15
309,Sensor_309,Zona_32
310,Sensor_310,Zona_50
311,Sensor_311,Zona_44
312,Sensor_312,Zona_36
313,Sensor_313,Zona_42
314,Sensor_314,Zona_13
315,Sensor_315,Zona_45
316,Sensor_316,Zona_25
317,Sensor_317,Zona_35
318,Sensor_318,Zona_3
319,Sensor_319,Zona_28
320,Sensor_320,Zona_20
321,Sensor_321,Zona_41
322,Sensor_322,Zona_1
323,Sensor_323,Zona_42
324,Sensor_324,Zona_32
325,Sensor_325,Zona_31
326,Sensor_326,Zona_33
327,Sensor_327,Zona_4
328,Sensor_328,Zona_28
329,Sensor_329,Zona_20
330,Sensor_330,Zona_50
331,Sensor_331,Zona_6
332,Sensor_332,Zona_44
333,Sensor_333,Zona_17
334,Sensor_334,Zona_48
335,Sensor_335,Zona_8
336,Sensor_336,Zona_20
337,Sensor_337,Zona_49
338,Sensor_338,Zona_23
339,Sensor_339,Zona_2
340,Sensor_340,Zona_30
341,Sensor_341,Zona_1
342,Sensor_342,Zona_6
343,Sensor_343,Zona_24
344,Sensor_344,Zona_7
345,Sensor_345,Zona_12
346,Sensor_346,Zona_8
347,Sensor_347,Zona_1
348,Sensor_348,Zona_33
349,Sensor_349,Zona_17
350,Sensor_350,Zona_48
351,Sensor_351,Zona_25
352,Sensor_352,Zona_35
353,Sensor_353,Zona_31
354,Sensor_354,Zona_35
355,Sensor_355,Zona_22
356,Sensor_356,Zona_2
357,Sensor_357,Zona_3
358,Sensor_358,Zona_28
359,Sensor_359,Zona_39
360,Sensor_360,Zona_26
361,Sensor_361,Zona_8
362,Sensor_362,Zona_48
363,Sensor_363,Zona_32
364,Sensor_364,Zona_14
365,Sensor_365,Zona_3
366,Sensor_366,Zona_2
367,Sensor_367,Zona_45
368,Sensor_368,Zona_4
369,Sensor_369,Zona_28
370,Sensor_370,Zona_3
371,Sensor_371,Zona_9
372,Sensor_372,Zona_17
373,Sensor_373,Zona_28
374,Sensor_374,Zona_48
375,Sensor_375,Zona_27
376,Sensor_376,Zona_40
377,Sensor_377,Zona_33
378,Sensor_378,Zona_6
379,Sensor_379,Zona_5
380,Sensor_380,Zona_28
381,Sensor_381,Zona_43
382,Sensor_382,Zona_10
383,Sensor_383,Zona_17
384,Sensor_384,Zona_33
385,Sensor_385,Zona_38
386,Sensor_386,Zona_33
387,Sensor_387,Zona_3
388,Sensor_388,Zona_19
389,Sensor_389,Zona_41
390,Sensor_390,Zona_4
391,Sensor_391,Zona_49
392,Sensor_392,Zona_17
393,Sensor_393,Zona_11
394,Sensor_394,Zona_44
395,Sensor_395,Zona_30
396,Sensor_396,Zona_20
397,Sensor_397,Zona_48
398,Sensor_398,Zona_32
399,Sensor_399,Zona_32
400,Sensor_400,Zona_49
401,Sensor_401,Zona_12
402,Sensor_402,Zona_2
403,Sensor_403,Zona_7
404,Sensor_404,Zona_37
405,Sensor_405,Zona_8
406,Sensor_406,Zona_31
407,Sensor_407,Zona_38
408,Sensor_408,Zona_22
409,Sensor_409,Zona_13
410,Sensor_410,Zona_7
411,Sensor_411,Zona_39
412,Sensor_412,Zona_37
413,Sensor_413,Zona_31
414,Sensor_414,Zona_44
415,Sensor_415,Zona_1
416,Sensor_416,Zona_24
417,Sensor_417,Zona_19
418,Sensor_418,Zona_22
419,Sensor_419,Zona_22
420,Sensor_420,Zona_29
421,Sensor_421,Zona_26
422,Sensor_422,Zona_17
423,Sensor_423,Zona_22
424,Sensor_424,Zona_39
425,Sensor_425,Zona_47
426,Sensor_426,Zona_46
427,Sensor_427,Zona_16
428,Sensor_428,Zona_49
429,Sensor_429,Zona_43
430,Sensor_430,Zona_37
431,Sensor_431,Zona_40
432,Sensor_432,Zona_15
433,Sensor_433,Zona_14
434,Sensor_434,Zona_44
435,Sensor_435,Zona_26
436,Sensor_436,Zona_1
437,Sensor_437,Zona_35
438,Sensor_438,Zona_38
439,Sensor_439,Zona_28
440,Sensor_440,Zona_2
441,Sensor_441,Zona_32
442,Sensor_442,Zona_17
443,Sensor_443,Zona_38
444,Sensor_444,Zona_18
445,Sensor_445,Zona_20
446,Sensor_446,Zona_24
447,Sensor_447,Zona_2
448,Sensor_448,Zona_15
449,Sensor_449,Zona_49
450,Sensor_450,Zona_29
451,Sensor_451,Zona_13
452,Sensor_452,Zona_2
453,Sensor_453,Zona_26
454,Sensor_454,Zona_37
455,Sensor_455,Zona_17
456,Sensor_456,Zona_45
457,Sensor_457,Zona_1
458,Sensor_458,Zona_21
459,Sensor_459,Zona_22
460,Sensor_460,Zona_43
461,Sensor_461,Zona_24
462,Sensor_462,Zona_25
463,Sensor_463,Zona_13
464,Sensor_464,Zona_12
465,Sensor_465,Zona_35
466,Sensor_466,Zona_45
467,Sensor_467,Zona_45
468,Sensor_468,Zona_50
469,Sensor_469,Zona_20
470,Sensor_470,Zona_34
471,Sensor_471,Zona_36
472,Sensor_472,Zona_26
473,Sensor_473,Zona_34
474,Sensor_474,Zona_12
475,Sensor_475,Zona_12
476,Sensor_476,Zona_17
477,Sensor_477,Zona_26
478,Sensor_478,Zona_5
479,Sensor_479,Zona_49
480,Sensor_480,Zona_24
481,Sensor_481,Zona_44
482,Sensor_482,Zona_20
483,Sensor_483,Zona_49
484,Sensor_484,Zona_43
485,Sensor_485,Zona_45
486,Sensor_486,Zona_20
487,Sensor_487,Zona_37
488,Sensor_488,Zona_49
489,Sensor_489,Zona_26
490,Sensor_490,Zona_9
491,Sensor_491,Zona_22
492,Sensor_492,Zona_41
493,Sensor_493,Zona_46
494,Sensor_494,Zona_19
495,Sensor_495,Zona_44
496,Sensor_496,Zona_6
497,Sensor_497,Zona_43
498,Sensor_498,Zona_43
499,Sensor_499,Zona_17
500,Sensor_500,Zona_1
501,Sensor_501,Zona_2
502,Sensor_502,Zona_8
503,Sensor_503,Zona_25
504,Sensor_504,Zona_14
505,Sensor_505,Zona_25
506,Sensor_506,Zona_40
507,Sensor_507,Zona_35
508,Sensor_508,Zona_48
509,Sensor_509,Zona_49
510,Sensor_510,Zona_12
511,Sensor_511,Zona_46
512,Sensor_512,Zona_9
513,Sensor_513,Zona_27
514,Sensor_514,Zona_3
515,Sensor_515,Zona_41
516,Sensor_516,Zona_42
517,Sensor_517,Zona_12
518,Sensor_518,Zona_36
519,Sensor_519,Zona_39
520,Sensor_520,Zona_36
521,Sensor_521,Zona_9
522,Sensor_522,Zona_43
523,Sensor_523,Zona_29
524,Sensor_524,Zona_49
525,Sensor_525,Zona_43
526,Sensor_526,Zona_19
527,Sensor_527,Zona_39
528,Sensor_528,Zona_8
529,Sensor_529,Zona_24
530,Sensor_530,Zona_27
531,Sensor_531,Zona_3
532,Sensor_532,Zona_40
533,Sensor_533,Zona_7
534,Sensor_534,Zona_24
535,Sensor_535,Zona_4
536,Sensor_536,Zona_31
537,Sensor_537,Zona_50
538,Sensor_538,Zona_40
539,Sensor_539,Zona_4
540,Sensor_540,Zona_42
541,Sensor_541,Zona_20
542,Sensor_542,Zona_40
543,Sensor_543,Zona_42
544,Sensor_544,Zona_8
545,Sensor_545,Zona_35
546,Sensor_546,Zona_31
547,Sensor_547,Zona_14
548,Sensor_548,Zona_42
549,Sensor_549,Zona_5
550,Sensor_550,Zona_13
551,Sensor_551,Zona_25
552,Sensor_552,Zona_15
553,Sensor_553,Zona_44
554,Sensor_554,Zona_50
555,Sensor_555,Zona_34
556,Sensor_556,Zona_9
557,Sensor_557,Zona_18
558,Sensor_558,Zona_41
559,Sensor_559,Zona_10
560,Sensor_560,Zona_29
561,Sensor_561,Zona_42
562,Sensor_562,Zona_48
563,Sensor_563,Zona_2
564,Sensor_564,Zona_13
565,Sensor_565,Zona_6
566,Sensor_566,Zona_4
567,Sensor_567,Zona_31
568,Sensor_568,Zona_44
569,Sensor_569,Zona_46
570,Sensor_570,Zona_43
571,Sensor_571,Zona_5
572,Sensor_572,Zona_16
573,Sensor_573,Zona_41
574,Sensor_574,Zona_10
575,Sensor_575,Zona_5
576,Sensor_576,Zona_2
577,Sensor_577,Zona_49
578,Sensor_578,Zona_18
579,Sensor_579,Zona_25
580,Sensor_580,Zona_43
581,Sensor_581,Zona_27
582,Sensor_582,Zona_2
583,Sensor_583,Zona_37
584,Sensor_584,Zona_15
585,Sensor_585,Zona_31
586,Sensor_586,Zona_9
587,Sensor_587,Zona_48
588,Sensor_588,Zona_5
589,Sensor_589,Zona_28
590,Sensor_590,Zona_15
591,Sensor_591,Zona_31
592,Sensor_592,Zona_8
593,Sensor_593,Zona_28
594,Sensor_594,Zona_42
595,Sensor_595,Zona_14
596,Sensor_596,Zona_42
597,Sensor_597,Zona_20
598,Sensor_598,Zona_34
599,Sensor_599,Zona_23
600,Sensor_600,Zona_1
601,Sensor_601,Zona_38
602,Sensor_602,Zona_25
603,Sensor_603,Zona_4
604,Sensor_604,Zona_34
605,Sensor_605,Zona_27
606,Sensor_606,Zona_25
607,Sensor_607,Zona_7
608,Sensor_608,Zona_24
609,Sensor_609,Zona_16
610,Sensor_610,Zona_37
611,Sensor_611,Zona_30
612,Sensor_612,Zona_29
613,Sensor_613,Zona_25
614,Sensor_614,Zona_23
615,Sensor_615,Zona_19
616,Sensor_616,Zona_34
617,Sensor_617,Zona_1
618,Sensor_618,Zona_1
619,Sensor_619,Zona_8
620,Sensor_620,Zona_4
621,Sensor_621,Zona_44
622,Sensor_622,Zona_16
623,Sensor_623,Zona_16
624,Sensor_624,Zona_28
625,Sensor_625,Zona_36
626,Sensor_626,Zona_46
627,Sensor_627,Zona_1
628,Sensor_628,Zona_42
629,Sensor_629,Zona_5
630,Sensor_630,Zona_24
631,Sensor_631,Zona_27
632,Sensor_632,Zona_49
633,Sensor_633,Zona_43
634,Sensor_634,Zona_11
635,Sensor_635,Zona_40
636,Sensor_636,Zona_48
637,Sensor_637,Zona_11
638,Sensor_638,Zona_50
639,Sensor_639,Zona_31
640,Sensor_640,Zona_27
641,Sensor_641,Zona_28
642,Sensor_642,Zona_22
643,Sensor_643,Zona_8
644,Sensor_644,Zona_22
645,Sensor_645,Zona_5
646,Sensor_646,Zona_4
647,Sensor_647,Zona_26
648,Sensor_648,Zona_1
649,Sensor_649,Zona_17
650,Sensor_650,Zona_13
651,Sensor_651,Zona_47
652,Sensor_652,Zona_31
653,Sensor_653,Zona_43
654,Sensor_654,Zona_47
655,Sensor_655,Zona_19
656,Sensor_656,Zona_35
657,Sensor_657,Zona_40
658,Sensor_658,Zona_38
659,Sensor_659,Zona_44
660,Sensor_660,Zona_42
661,Sensor_661,Zona_23
662,Sensor_662,Zona_46
663,Sensor_663,Zona_8
664,Sensor_664,Zona_1
665,Sensor_665,Zona_13
666,Sensor_666,Zona_38
667,Sensor_667,Zona_22
668,Sensor_668,Zona_13
669,Sensor_669,Zona_19
670,Sensor_670,Zona_19
671,Sensor_671,Zona_4
672,Sensor_672,Zona_17
673,Sensor_673,Zona_41
674,Sensor_674,Zona_36
675,Sensor_675,Zona_22
676,Sensor_676,Zona_9
677,Sensor_677,Zona_18
678,Sensor_678,Zona_16
679,Sensor_679,Zona_41
680,Sensor_680,Zona_37
681,Sensor_681,Zona_29
682,Sensor_682,Zona_47
683,Sensor_683,Zona_47
684,Sensor_684,Zona_15
685,Sensor_685,Zona_34
686,Sensor_686,Zona_40
687,Sensor_687,Zona_47
688,Sensor_688,Zona_1
689,Sensor_689,Zona_3
690,Sensor_690,Zona_46
691,Sensor_691,Zona_28
692,Sensor_692,Zona_25
693,Sensor_693,Zona_16
694,Sensor_694,Zona_18
695,Sensor_695,Zona_39
696,Sensor_696,Zona_46
697,Sensor_697,Zona_43
698,Sensor_698,Zona_26
699,Sensor_699,Zona_16
700,Sensor_700,Zona_24
701,Sensor_701,Zona_14
702,Sensor_702,Zona_1
703,Sensor_703,Zona_27
704,Sensor_704,Zona_32
705,Sensor_705,Zona_1
706,Sensor_706,Zona_24
707,Sensor_707,Zona_14
708,Sensor_708,Zona_15
709,Sensor_709,Zona_44
710,Sensor_710,Zona_32
711,Sensor_711,Zona_19
712,Sensor_712,Zona_40
713,Sensor_713,Zona_44
714,Sensor_714,Zona_48
715,Sensor_715,Zona_44
716,Sensor_716,Zona_25
717,Sensor_717,Zona_16
718,Sensor_718,Zona_27
719,Sensor_719,Zona_41
720,Sensor_720,Zona_44
721,Sensor_721,Zona_13
722,Sensor_722,Zona_40
723,Sensor_723,Zona_48
724,Sensor_724,Zona_16
725,Sensor_725,Zona_8
726,Sensor_726,Zona_47
727,Sensor_727,Zona_32
728,Sensor_728,Zona_15
729,Sensor_729,Zona_27
730,Sensor_730,Zona_8
731,Sensor_731,Zona_18
732,Sensor_732,Zona_27
733,Sensor_733,Zona_46
734,Sensor_734,Zona_11
735,Sensor_735,Zona_23
736,Sensor_736,Zona_38
737,Sensor_737,Zona_15
738,Sensor_738,Zona_47
739,Sensor_739,Zona_24
740,Sensor_740,Zona_23
741,Sensor_741,Zona_4
742,Sensor_742,Zona_7
743,Sensor_743,Zona_13
744,Sensor_744,Zona_44
745,Sensor_745,Zona_17
746,Sensor_746,Zona_25
747,Sensor_747,Zona_46
748,Sensor_748,Zona_11
749,Sensor_749,Zona_39
750,Sensor_750,Zona_1
751,Sensor_751,Zona_32
752,Sensor_752,Zona_9
753,Sensor_753,Zona_21
754,Sensor_754,Zona_16
755,Sensor_755,Zona_50
756,Sensor_756,Zona_34
757,Sensor_757,Zona_16
758,Sensor_758,Zona_48
759,Sensor_759,Zona_32
760,Sensor_760,Zona_25
761,Sensor_761,Zona_32
762,Sensor_762,Zona_41
763,Sensor_763,Zona_9
764,Sensor_764,Zona_14
765,Sensor_765,Zona_14
766,Sensor_766,Zona_12
767,Sensor_767,Zona_24
768,Sensor_768,Zona_4
769,Sensor_769,Zona_12
770,Sensor_770,Zona_18
771,Sensor_771,Zona_33
772,Sensor_772,Zona_1
773,Sensor_773,Zona_25
774,Sensor_774,Zona_33
775,Sensor_775,Zona_27
776,Sensor_776,Zona_41
777,Sensor_777,Zona_19
778,Sensor_778,Zona_41
779,Sensor_779,Zona_45
780,Sensor_780,Zona_47
781,Sensor_781,Zona_19
782,Sensor_782,Zona_16
783,Sensor_783,Zona_29
784,Sensor_784,Zona_17
785,Sensor_785,Zona_38
786,Sensor_786,Zona_35
787,Sensor_787,Zona_1
788,Sensor_788,Zona_22
789,Sensor_789,Zona_10
790,Sensor_790,Zona_13
791,Sensor_791,Zona_11
792,Sensor_792,Zona_33
793,Sensor_793,Zona_14
794,Sensor_794,Zona_31
795,Sensor_795,Zona_18
796,Sensor_796,Zona_22
797,Sensor_797,Zona_42
798,Sensor_798,Zona_49
799,Sensor_799,Zona_20
800,Sensor_800,Zona_45
801,Sensor_801,Zona_29
802,Sensor_802,Zona_1
803,Sensor_803,Zona_17
804,Sensor_804,Zona_44
805,Sensor_805,Zona_34
806,Sensor_806,Zona_4
807,Sensor_807,Zona_20
808,Sensor_808,Zona_40
809,Sensor_809,Zona_32
810,Sensor_810,Zona_21
811,Sensor_811,Zona_16
812,Sensor_812,Zona_42
813,Sensor_813,Zona_47
814,Sensor_814,Zona_20
815,Sensor_815,Zona_4
816,Sensor_816,Zona_13
817,Sensor_817,Zona_2
818,Sensor_818,Zona_20
819,Sensor_819,Zona_46
820,Sensor_820,Zona_46
821,Sensor_821,Zona_17
822,Sensor_822,Zona_25
823,Sensor_823,Zona_50
824,Sensor_824,Zona_21
825,Sensor_825,Zona_23
826,Sensor_826,Zona_35
827,Sensor_827,Zona_10
828,Sensor_828,Zona_37
829,Sensor_829,Zona_48
830,Sensor_830,Zona_8
831,Sensor_831,Zona_34
832,Sensor_832,Zona_44
833,Sensor_833,Zona_1
834,Sensor_834,Zona_44
835,Sensor_835,Zona_47
836,Sensor_836,Zona_20
837,Sensor_837,Zona_28
838,Sensor_838,Zona_39
839,Sensor_839,Zona_22
840,Sensor_840,Zona_20
841,Sensor_841,Zona_14
842,Sensor_842,Zona_23
843,Sensor_843,Zona_1
844,Sensor_844,Zona_32
845,Sensor_845,Zona_18
846,Sensor_846,Zona_33
847,Sensor_847,Zona_27
848,Sensor_848,Zona_50
849,Sensor_849,Zona_36
850,Sensor_850,Zona_9
851,Sensor_851,Zona_7
852,Sensor_852,Zona_50
853,Sensor_853,Zona_31
854,Sensor_854,Zona_36
855,Sensor_855,Zona_19
856,Sensor_856,Zona_7
857,Sensor_857,Zona_37
858,Sensor_858,Zona_38
859,Sensor_859,Zona_28
860,Sensor_860,Zona_5
861,Sensor_861,Zona_14
862,Sensor_862,Zona_47
863,Sensor_863,Zona_23
864,Sensor_864,Zona_14
865,Sensor_865,Zona_7
866,Sensor_866,Zona_48
867,Sensor_867,Zona_12
868,Sensor_868,Zona_21
869,Sensor_869,Zona_37
870,Sensor_870,Zona_25
871,Sensor_871,Zona_26
872,Sensor_872,Zona_44
873,Sensor_873,Zona_1
874,Sensor_874,Zona_13
875,Sensor_875,Zona_45
876,Sensor_876,Zona_37
877,Sensor_877,Zona_26
878,Sensor_878,Zona_1
879,Sensor_879,Zona_35
880,Sensor_880,Zona_31
881,Sensor_881,Zona_34
882,Sensor_882,Zona_33
883,Sensor_883,Zona_11
884,Sensor_884,Zona_29
885,Sensor_885,Zona_3
886,Sensor_886,Zona_1
887,Sensor_887,Zona_19
888,Sensor_888,Zona_40
889,Sensor_889,Zona_19
890,Sensor_890,Zona_44
891,Sensor_891,Zona_15
892,Sensor_892,Zona_16
893,Sensor_893,Zona_39
894,Sensor_894,Zona_29
895,Sensor_895,Zona_23
896,Sensor_896,Zona_12
897,Sensor_897,Zona_32
898,Sensor_898,Zona_45
899,Sensor_899,Zona_23
900,Sensor_900,Zona_13
901,Sensor_901,Zona_22
902,Sensor_902,Zona_49
903,Sensor_903,Zona_50
904,Sensor_904,Zona_32
905,Sensor_905,Zona_45
906,Sensor_906,Zona_12
907,Sensor_907,Zona_27
908,Sensor_908,Zona_18
909,Sensor_909,Zona_13
910,Sensor_910,Zona_29
911,Sensor_911,Zona_47
912,Sensor_912,Zona_17
913,Sensor_913,Zona_42
914,Sensor_914,Zona_31
915,Sensor_915,Zona_19
916,Sensor_916,Zona_3
917,Sensor_917,Zona_8
918,Sensor_918,Zona_29
919,Sensor_919,Zona_8
920,Sensor_920,Zona_3
921,Sensor_921,Zona_24
922,Sensor_922,Zona_26
923,Sensor_923,Zona_12
924,Sensor_924,Zona_6
925,Sensor_925,Zona_35
926,Sensor_926,Zona_27
927,Sensor_927,Zona_45
928,Sensor_928,Zona_13
929,Sensor_929,Zona_6
930,Sensor_930,Zona_7
931,Sensor_931,Zona_14
